課-序號,序號,生詞,漢拼,詞類,越譯,泰譯,緬譯,日譯,韓譯,韓譯,冊
15-1,12,發燒,fāshāo,Vp-sep,bị sốt,เป็นไข้ (pen khai),ဖျားသည် (phyar thi),熱がある (netsu ga aru),열이 나다 (yeori nada),,1
15-1,13,感冒,gǎnmào,Vp,bị cảm lạnh,เป็นหวัด (pen wat),အအေးမိသည် (a ay mi thi),風邪をひく (kaze o hiku),감기에 걸리다 (gamgie geollida),,1
15-1,14,藥,yào,N,thuốc,ยา (ya),ဆေး (say),薬 (kusuri),약 (yak),,1
15-1,15,藥局,yàojú,N,nhà thuốc,ร้านขายยา (ran khai ya),ဆေးဆိုင် (say saing),薬局 (yakkyoku),약국 (yakguk),,1
15-1,16,拿,ná,V,lấy / được,ได้ (dai),ရသည် (ya thi),手に入れる (te ni ireru),얻다 (eotda),,1
15-1,17,把,bǎ,Ptc,(trợ từ câu khiến),(คำบุพบท),(ယူဆောင်ခြင်းပြပစ္စည်း),処分マーカー (shobun mākā),처분 표지 (cheobun pyoji),,1
15-1,18,水,shuǐ,N,nước,น้ำ (nam),ရေ (yay),水 (mizu),물 (mul),,1
15-1,19,休息,xiūxí,Vi,nghỉ ngơi,พักผ่อน (phak phon),နားသည် (nar thi),休む (yasumu),쉬다 (swida),,1
15-1,20,睡覺,shuìjiào,V-sep,ngủ,นอน (non),အိပ်သည် (ate thi),寝る (neru),자다 (jada),,1
15-1,21,早一點,zǎo yìdiǎn,,sớm một chút,เร็วหน่อย (reo noi),စောစော (saw saw),早めに (hayame ni),좀 일찍 (jom iljjik),,1
15-2,1,臉色,liǎnsè ,N,sắc mặt,สีหน้า (see na),မျက်နှာအရောင် (myet hnar a yaung),顔色 (kaoiro),안색 (ansaek),,1
15-2,2,難看,nánkàn,Vs,trông không tốt,ดูไม่ดี (du mai dee),ကြည့်မကောင်း (kyi ma kaung),顔色が悪い (kaoiro ga warui),안색이 안 좋다 (ansaegi an jota),,1
15-2,3,肚子,dùzi,N,bụng,ท้อง (thong),ဗိုက် (bite),お腹 (onaka),배 (bae),,1
15-2,4,吐,tù,V,nôn / ói,อ้วก / อาเจียน (uak / a jian),အန်သည် (an thi),吐く (haku),토하다 (tohada),,1
15-2,5,幾,jǐ,N,một vài,สองสาม (song sam),အနည်းငယ် (a nee ngal),少し (sukoshi),몇몇 (myeonmyeot),,1
15-2,6,次,cì,M,lần,ครั้ง (khrang),ခါ (kha),回 (kai),번 (beon),,1
15-2,7,陪,péi,V,đi cùng,ไปเป็นเพื่อน (pai pen phuean),အဖော်လိုက်သည် (a phaw like thi),同行する (dōkō suru),동행하다 (donghaenghada),,1
15-2,8,看病,kànbìng,V-sep,đi khám bệnh,หาหมอ (ha mo),ဆေးခန်းပြသည် (say khan pya thi),医者にかかる (isha ni kakaru),진찰받다 (jinchalbatda),,1
15-2,9,健康,jiànkāng,N,sức khỏe,สุขภาพ (suk kha phap),ကျန်းမာရေး (kyan mar yay),健康 (kenkō),건강 (geongang),,1
15-2,10,保險,bǎoxiǎn,N,bảo hiểm,ประกัน (pra kan),အာမခံ (ar ma khan),保険 (hoken),보험 (boheom),,1
15-2,11,跟,gēn,Prep,tới,ถึง (thueng),သို့ (thoe),へ (he),~에 (e),,1
15-2,12,油,yóu,Vs,dầu mỡ,มัน (man),ဆီများသော (see myar thaw),油っこい (aburakkoi),기름진 (gireumjin),,1
15-2,13,冰,bīng,Vs,lạnh giá / có đá,เย็นจัด / มีน้ำแข็ง (yen jat / mee nam khaeng),ရေခဲသော (yay khel thaw),冷たい (tsumetai),차가운 (chagaun),,1
15-2,14,別,bié,Adv,đừng,อย่า (ya),မ...ပါနဲ့ (ma...par nel),～しないで (shinaide),~하지 마라 (haji mara),,1
15-2,15,關心,guānxīn,Vs,lo lắng về,ห่วง / กังวล (huang / kang won),စိတ်ပူသည် (sate pu thi),心配する (shinpai suru),걱정하다 (geokjeonghada),,1
15-2,16,包,bāo,M,túi / bao,ถุง (thung),အိတ် (ate),袋 (fukuro),봉지 (bongji),,1
15-2,17,睡,shuì,Vi,ngủ,นอน (non),အိပ်သည် (ate thi),寝る (neru),자다 (jada),,1
15-2,18,小時,xiǎoshí,N,giờ,ชั่วโมง (chua mong),နာရီ (nar yi),時間 (jikan),시간 (sigan),,1
15-2,19,怎麼了,zěnme le,,Có chuyện gì vậy?,เป็นอะไรไป (pen a rai pai),ဘာဖြစ်လို့လဲ (bar phyit lo lal),どうしたの (dōshita no),무슨 일이야? (museun iriya),,1
15-2,20,不用了,búyòng le,,Không cần thiết.,ไม่จำเป็น (mai jam pen),မလိုပါဘူး (ma lo par bu),必要ない (hitsuyō nai),필요 없다 (piryo eopda),,1
15-2,21,健康中心,jiànkāng zhōngxīn ,,trung tâm y tế,อนามัย / ศูนย์สุขภาพ (a na mai / sun suk kha phap),ကျန်းမာရေးဌာန (kyan mar yay htar na),保健センター (hoken sentā),보건소 (bogeonso),,1
15-2,22,回家,huí jiā,,về nhà,กลับบ้าน (klap ban),အိမ်ပြန်သည် (ein pyan thi),家に帰る (ie ni kaeru),집에 가다 (jibe gada),,1
15-2,23,最好,zuìhǎo,,Tốt nhất là...,ทางที่ดี... (thang thee dee),အကောင်းဆုံးကတော့ (a kaung sone ka taw),～したほうがいい (shita hō ga ii),~하는 게 제일 좋다 (haneun ge jeil jota),,1
,,,,,,,,,,,
,,,,,,,,,,,
