課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
10-2,16,一般,yìbān,Vs-attr,"general, most","chung, phổ biến",ทั่วไปส่วนใหญ่,ယေဘုယျအားဖြင့်၊ အများဆုံး,一般的な、ほとんどの,"일반적으로, 대부분","generales, la mayoría","umum, sebagian besar",3
10-2,17,主要,zhǔyào,Vs-attr,"primary, main","chủ yếu, chính",หลักหลัก,မူလတန်း၊ အဓိက,プライマリ、メイン,"기본, 메인","primario, principal","utama, utama",3
10-2,18,待遇,dàiyù,N,pay,"đãi ngộ, lương bổng",เงินเดือน (ngoen duean),လစာ (la za),給料 (kyūryō) / サラリー (sararī),월급 (wolgeup) / 급여 (geubyeo),pagar,membayar,3
10-2,19,公立,gōnglì,Vs-attr,public; government-run,công lập (do chính phủ điều hành),สาธารณะ; ดำเนินการโดยรัฐบาล,အများသူငှာ၊ အစိုးရအုပ်ချုပ်သည်။,公共;政府運営,공공의; 정부가 운영하는,público; administrado por el gobierno,publik; dijalankan oleh pemerintah,3
10-2,20,外科,wàikē,N,department of surgery,"khoa phẫu thuật, ngoại khoa",แผนกศัลยกรรม,ခွဲစိတ်ဌာန,外科,외과,departamento de cirugia,departemen bedah,3
10-2,21,超過,chāoguò,Vpt,to exceed,vượt quá,ที่จะเกิน,ကျော်လွန်ရန်,超える,초과하다,exceder,melebihi,3
10-2,22,倍,bèi,M,"times, -fold ",lần (gấp bao nhiêu lần),ครั้ง -พับ,ကြိမ်၊-ခေါက်,倍、-倍,"배, -배","veces, -doblar","kali, -lipat",3
10-2,23,另,lìng,Det,"another, additional",khác,อีกอย่างเพิ่มเติม,နောက်တစ်ခု၊ ထပ်လောင်း,別の、追加の,"또 다른, 추가","otro, adicional","yang lain, tambahan",3
10-2,24,價值觀,jiàzhíguān,N,values,quan điểm giá trị,ค่านิยม,တန်ဖိုးများ,価値観,가치,valores,nilai-nilai,3
10-2,25,尊敬,zūnjìng,Vst,"to respect, respectful of",tôn trọng,"เคารพ, เคารพของ",လေးစားဖို့၊ လေးစားဖို့,尊敬する、尊重する,"존경하다, 존경하다","respetar, respetuoso de","menghormati, menghormati",3
10-2,26,告,gào,V,"to sue, bring suit against","kiện, khởi kiện","ที่จะฟ้อง, ฟ้องร้อง",တရားစွဲရန်၊ တရားစွဲရန်,訴訟を起こす、訴訟を起こす,"고소하다, 소송을 제기하다","demandar, presentar una demanda contra","menuntut, mengajukan gugatan",3
10-2,27,平均,píngjūn,Adv,average,trung bình,เฉลี่ย,ပျမ်းမျှ,平均,평균,promedio,rata-rata,3
10-2,28,醫療,yīliáo,N,"medical treatment, health care","sự chữa trị, chăm sóc y tế",การรักษาพยาบาลการดูแลสุขภาพ,ဆေးဝါးကုသမှု၊ ကျန်းမာရေးစောင့်ရှောက်မှု,医療、ヘルスケア,"의료, 건강관리","tratamiento médico, atención médica","perawatan medis, perawatan kesehatan",3
10-2,29,怪,guài,V,to blame,"trách, đổ lỗi",ที่จะตำหนิ,အပြစ်တင်ရန်,責める,비난하다,culpar,disalahkan,3
10-2,30,愛林,àilín,,female person's name,Ái Lâm (tên người),ชื่อบุคคลหญิง,အမျိုးသမီးအမည်,女性の人の名前,여자 사람 이름,nombre de la persona femenina,nama orang perempuan,3
10-2,31,微整型,wéi zhěngxíng,,"micro-cosmetic surgery, plastic surgery, face contouring",phẫu thuật thẩm mỹ nhẹ (tạo đường nét khuôn mặt),"ศัลยกรรมความงามขนาดเล็ก, การทำศัลยกรรมพลาสติก, ปรับรูปหน้า",micro-cosmetic surgery၊ ပလပ်စတစ်ဆာဂျရီ၊ မျက်နှာကို ပြုပြင်ခြင်း။,マイクロ美容整形、形成外科、顔の輪郭形成,"미세미용수술, 성형외과, 안면윤곽술","cirugía microcosmética, cirugía plástica, contorno facial","bedah mikro-kosmetik, bedah plastik, pembentukan wajah",3
10-2,32,數一數二,shùyī shù’èr,,"one of the top or best in…, leading…",một trong những... hàng đầu,"หนึ่งในอันดับต้นๆ หรือดีที่สุดใน..., นำ...",ထိပ်တန်း သို့မဟုတ် အကောင်းဆုံးထဲမှ တစ်ခု...၊ ဦးဆောင်သည်...,…のトップまたは最高の一人、一流の…,"...에서 최고 또는 최고 중 하나, 선도하는...","uno de los mejores o mejores en…, líder…","salah satu yang teratas atau terbaik di…, memimpin…",3
10-2,33,人際關係,rénjì guānxì,,interpersonal relations,mối quan hệ giữa người với người,ความสัมพันธ์ระหว่างบุคคล,လူအချင်းချင်းဆက်ဆံရေး,人間関係,대인관계,relaciones interpersonales,hubungan antarpribadi,3
10-2,34,動不動就,dòng bú dòng jiù,,to do something impetuously,"cứ động một tí là..., hay...",ทำอะไรอย่างเร่งรีบ,တစ်ခုခုကို စိတ်လိုက်မာန်ပါလုပ်ပါ။,衝動的に何かをすること,성급하게 뭔가를 하려고,hacer algo impetuosamente,melakukan sesuatu dengan terburu-buru,3
10-2,35,找回,zhǎo huí,,"to rediscover, to retrieve","tìm lại, lấy lại",เพื่อค้นพบอีกครั้งเพื่อเรียกคืน,ပြန်လည်ရှာဖွေရန်၊ ပြန်လည်ရယူရန်,再発見する、取り戻す,"재발견하다, 회수하다","redescubrir, recuperar","menemukan kembali, mengambil",3
11-1,1,建,jiàn,V,to build (Classical Chinese),xây dựng (văn ngôn),การสร้าง (ภาษาจีนคลาสสิก),တည်ဆောက်ရန် (Classical Chinese),建てる (古典中国語),짓다 (중국어 고전),construir (chino clásico),membangun (Cina Klasik),3
11-1,2,重建,chóngjiàn,V,to rebuild,xây dựng lại,เพื่อสร้างใหม่,ပြန်လည်တည်ဆောက်ရန်,再構築する,재건하다,reconstruir,membangun kembali,3
11-1,3,到底,dàodǐ,Adv,"in the end, after all","rốt cuộc, rốt cục",ท้ายที่สุดแล้ว,အဆုံးတွင်၊,結局のところ、結局のところ,"결국, 결국","al final, después de todo",pada akhirnya,3
11-1,4,世紀,shìjì,N,century ,thế kỷ,ศตวรรษ,ရာစု,世紀,세기,siglo,abad,3
11-1,5,貿易,màoyì,N,trade,thương mại,ซื้อขาย,ကုန်သွယ်မှု,貿易,거래,comercio,berdagang,3
11-1,6,商業,shāngyè,N,"commerce, business","thương nghiệp, kinh doanh",การพาณิชย์ธุรกิจ,ကူးသန်းရောင်းဝယ်ရေး၊ စီးပွားရေး,商業、ビジネス,"상업, 사업","comercio, negocios","perdagangan, bisnis",3
11-1,7,利益,lìyì,N,"gains, benefit",lợi ích,"กำไร, ผลประโยชน์",အမြတ်၊ အကျိုး,利益、利益,"이익, 이익","ganancias, beneficio","keuntungan, manfaat",3
11-1,8,派,pài,V,"to send, dispatch","cử, phái",เพื่อส่งจัดส่ง,ပေးပို့ရန်၊ ပေးပို့ရန်,送る、発送する,"보내다, 파견하다","enviar, despachar","mengirim, mengirim",3
11-1,9,軍隊,jūnduì,N,"army, military",quân đội,กองทัพทหาร,စစ်တပ်၊ စစ်တပ်,軍隊、軍隊,"군대, 군대","ejército, militar","tentara, militer",3
11-1,10,燒,shāo,V,to burn,đốt cháy,ที่จะเผาไหม้,မီးရှို့ရန်,燃やす,태우다,quemar,membakar,3
11-1,11,城牆,chéngqiáng,N,"city walls, defensive walls",tường thành,กำแพงเมือง กำแพงป้องกัน,မြို့ရိုး၊ ခံတပ်မြို့ရိုး,城壁、防御壁,"성벽, 방어벽","murallas de la ciudad, murallas defensivas","tembok kota, tembok pertahanan",3
11-1,12,頭髮,tóufǎ,N,hair,tóc,ผม,ဆံပင်,髪,머리카락,cabello,rambut,3
11-1,13,甚至,shènzhì,Adv,"even, even to the point of",thậm chí,แม้กระทั่งถึงจุดนั้นก็ตาม,ပင်တိုင်၊,さえ、その点まで,"심지어, 심지어는","Incluso, incluso hasta el punto de","bahkan, bahkan sampai pada titik",3
11-1,14,打仗,dǎzhàng,V-sep,to engage in warfare,"đánh nhau, giao chiến",เพื่อทำสงคราม,စစ်ပွဲတွင်ပါဝင်ရန်,戦争に参加する,전쟁에 참여하다,participar en la guerra,terlibat dalam peperangan,3
11-1,15,少數,shǎoshù,N,"minority, a few","thiểu số, số ít",ชนกลุ่มน้อยบางส่วน,လူနည်းစု၊ အနည်းငယ်,少数派、少数の,"소수, 소수","minoría, unos pocos","minoritas, beberapa",3
11-1,16,開墾,kāikěn,V,to open up land for farming,khai khẩn (đất đai),เพื่อเปิดพื้นที่ทำการเกษตร,လယ်ယာမြေဖွင့်ဖို့,農業のために土地を開拓する,농사를 지을 땅을 개척하다,abrir tierras para la agricultura,membuka lahan untuk bertani,3
11-1,17,將軍,jiāngjūn,N,general,tướng quân,ทั่วไป,အထွေထွေ,一般的な,일반적인,general,umum,3
11-1,18,軍人,jūnrén,N,military service member,quân nhân,สมาชิกรับราชการทหาร,စစ်မှုထမ်းအဖွဲ့ဝင်,兵役員,군 복무자,miembro del servicio militar,anggota dinas militer,3
11-1,19,平原,píngyuán,N,"flatland, plains",đồng bằng,ที่ราบราบ,မြေပြန့်၊ လွင်ပြင်,平地、平野,"평지, 평원","llanura, llanuras","dataran datar, dataran",3
11-1,20,人口,rénkǒu,N,population ,dân số,ประชากร,လူဦးရေ,人口,인구,población,populasi,3
11-1,21,血統,xiětǒng,N,"blood, bloodline","dòng máu, huyết thống","เลือด, สายเลือด",သွေး၊ သွေး,血、血筋,"피, 혈통","sangre, linaje","darah, garis keturunan",3
11-1,22,嘍,lou,Ptc,a sentence-final particle meaning ‘in that case’,"nha (trợ từ cuối câu, ý ""vậy thì..."")",อนุภาคประโยคสุดท้ายหมายถึง 'ในกรณีนี้',ဝါကျ-နောက်ဆုံးအမှုန် 'ထိုကိစ္စတွင်' အဓိပ္ပာယ်၊,「その場合には」を意味する文末助詞,'그 경우'를 의미하는 문장 끝 입자,"una partícula final de oración que significa ""en ese caso""",partikel akhir kalimat yang berarti 'dalam hal itu',3
11-1,23,孫子,sūnzi,N,grandson,cháu trai,หลานชาย,မြေး,孫,손자,nieto,cucu,3
11-1,24,領土,lǐngtǔ,N,territory (of a nation),lãnh thổ,อาณาเขต (ของชาติ),နယ်မြေ (လူမျိုး)၊,（国家の）領土,(국가의) 영토,territorio (de una nación),wilayah (suatu negara),3
11-1,25,男性,nánxìng,N,male,nam giới,ชาย,အထီး,男,남성,masculino,pria,3
11-1,26,禁止,jìnzhǐ,V,to forbid,cấm,เพื่อห้าม,တားမြစ်ရန်,禁止する,금지하다,prohibir,melarang,3
11-1,27,娶,qǔ,V,to take a woman in marriage,cưới (vợ),ที่จะรับผู้หญิงคนหนึ่งมาเป็นสามีภรรยา,မိန်းမယူဖို့၊,女性を結婚相手に迎える,여자와 결혼하다,tomar una mujer en matrimonio,menikahi seorang wanita,3
11-1,28,相信,xiāngxìn,Vst,to believe,tin tưởng,ที่จะเชื่อ,ယုံကြည်ရန်,信じること,믿다,creer,percaya,3
11-1,29,精彩,jīngcǎi,Vs,"splendid, brilliant as (of a performance)","tuyệt vời, xuất sắc (về màn trình diễn)","งดงาม, สุกใสเหมือน (ของการแสดง)",ခမ်းနားသော၊ ထက်မြက်သော (စွမ်းဆောင်ရည်တစ်ခု),（パフォーマンスとして）素晴らしい、素晴らしい,"(연주처럼) 훌륭하다, 훌륭하다","espléndido, brillante como (de una actuación)","indah, cemerlang seperti (pertunjukan)",3
11-1,30,紅毛城,Hóngmáo chéng,,"Fort Santo Domingo, lit. red-hair city",Thành Hồng Mao (Fort Santo Domingo),ป้อมซานโตโดมิงโก แปลว่าเมืองผมแดง,Fort Santo Domingo၊ စာသားအရ ဆံပင်နီသောမြို့,フォート・サント・ドミンゴ、文字通り赤毛の街,"포트 산토 도밍고(Fort Santo Domingo), 말 그대로 빨간 머리의 도시","Fuerte Santo Domingo, literalmente, ciudad pelirroja","Fort Santo Domingo, secara harafiah berarti kota berambut merah",3
11-1,31,東方,Dōngfāng,,"the East, the Orient",phương Đông,"ตะวันออก, ตะวันออก",အရှေ့၊ အရှေ့,東洋、東洋,"동양, 동양","el este, el oriente","Timur, Timur",3
11-1,32,淡水,Dànshuǐ,,Tamsui,Đạm Thủy (Tamsui),ตั้นสุ่ย,Tamsui,淡水,단수이,Tamsui,Tamsui,3
11-1,33,漢人,Hàn rén,,Han-ethnic Chinese,người Hán,เชื้อสายจีนฮั่น,ဟန်-တရုတ်,漢民族の中国人,한족 중국인,Chinos de etnia han,Tionghoa etnis Han,3
11-1,34,鄭成功,Zhèng Chénggōng,,"Koxinga, 國姓爺, 1624-1662, who ruled Taiwan against the Manchu sovereignty",Trịnh Thành Công (Koxinga),โคซิงกา 國姓爺 ค.ศ. 1624-1662 ผู้ปกครองไต้หวันต่อต้านอำนาจอธิปไตยแมนจู,မန်ချူ အချုပ်အခြာအာဏာကို ဆန့်ကျင်သည့် ထိုင်ဝမ်ကို အုပ်ချုပ်ခဲ့သော ကိုးစင်ဂါ၊ ၁၆၂၄-၁၆၆၂၊,國姓爺、鄭成功、1624～1662年、満州族の主権に対抗して台湾を統治した,만주족의 통치에 맞서 대만을 통치한 國姓爺(1624~1662),"Koxinga, 國姓爺, 1624-1662, quien gobernó Taiwán contra la soberanía manchú","Koxinga, 國姓爺, 1624-1662, yang memerintah Taiwan melawan kedaulatan Manchu",3
11-1,35,明朝,Míng cháo,,"Ming Dynasty, 1368-1644",nhà Minh,ราชวงศ์หมิง ค.ศ. 1368-1644,မင်မင်းဆက်၊ ၁၃၆၈-၁၆၄၄,明王朝、1368 ～ 1644 年,"명나라, 1368-1644","Dinastía Ming, 1368-1644","Dinasti Ming, 1368-1644",3
11-1,36,中南美洲,Zhōngnán Měizhōu,,Central and South America ,Trung và Nam Mỹ,อเมริกากลางและอเมริกาใต้,အလယ်ပိုင်းနှင့် တောင်အမေရိက,中南米,중남미,Centro y Sudamérica,Amerika Tengah dan Selatan,3
11-1,37,清朝,Qīng cháo,,"Qing Dynasty, 1644-1911",nhà Thanh,ราชวงศ์ชิง ค.ศ. 1644-1911,Qing မင်းဆက်၊ 1644-1911,清朝、1644 ～ 1911 年,"청나라, 1644-1911","Dinastía Qing, 1644-1911","Dinasti Qing, 1644-1911",3
11-1,38,大清帝國,Dàqīng dìguó,,the Qing Empire,Đế quốc Đại Thanh,จักรวรรดิชิง,Qing အင်ပါယာ,清帝国,청 제국,el imperio qing,Kekaisaran Qing,3
11-1,39,輪到,lúndào,,"one's turn, it's up to ",đến lượt,ถึงคราวก็ขึ้นอยู่กับ,တစ်လှည့်၊,次は自分の番です、それはあなた次第です,자기 차례야.,a uno le toca,"giliran, terserah",3
11-1,40,十七世紀初,shíqī shìjì chū,,early 17th century,đầu thế kỷ 17,ต้นศตวรรษที่ 17,17 ရာစုအစောပိုင်း,17世紀初頭,17세기 초,principios del siglo XVII,awal abad ke-17,3
11-1,41,打敗,dǎ bài,,to defeat,đánh bại,ที่จะเอาชนะ,ရှုံးနိမ့်ရန်,倒す,패배하다,derrotar,mengalahkan,3
11-1,42,十七世紀末,shíqī shìjì mò,,late 17th century,cuối thế kỷ 17,ปลายศตวรรษที่ 17,17 ရာစုနှောင်းပိုင်း,17世紀後半,17세기 후반,finales del siglo 17,akhir abad ke-17,3
11-2,1,餐桌,cānzhuō,N,dining table,bàn ăn,โต๊ะรับประทานอาหาร,ထမင်းစားပွဲ,ダイニングテーブル,식탁,mesa de comedor,meja makan,3
11-2,2,中式,Zhōngshì,N,Chinese-style,kiểu Trung Quốc,สไตล์จีน,တရုတ်စတိုင်,中華風,중국풍,estilo chino,gaya Cina,3
11-2,3,套,tào,M,"set of (books, clothes, equipment etc)","bộ (sách, quần áo...)",ชุด (หนังสือ เสื้อผ้า อุปกรณ์ ฯลฯ),အစုံ (စာအုပ်၊ အဝတ်အစား၊ ပစ္စည်းစသည်),（本、服、装備など）のセット,"(책, 옷, 장비 등) 세트","conjunto de (libros, ropa, equipo, etc.)","set (buku, pakaian, peralatan dll)",3
11-2,4,燒餅,shāobǐng,N,"clay oven sesame seed biscuits, like Indian ‘nan’",bánh thiêu (bánh mè kẹp),บิสกิตเมล็ดงาเตาอบดินเผา เช่น 'น่าน' ของอินเดีย,အိန္ဒိယ 'nan' ကဲ့သို့ မြေစေးမီးဖို နှမ်းစေ့ဘီစကွတ်၊,インドの「ナン」のような粘土オーブンで作るゴマシードビスケット,인도식 '난'과 같은 점토 오븐 참깨 비스킷,"galletas de sésamo al horno de barro, como las indias “nan”","biskuit biji wijen oven tanah liat, seperti 'nan' India",3
11-2,5,油條,yóutiáo,N,deep-fried dough sticks,quẩy (dầu cháo quẩy),แท่งแป้งทอด,မုန့်စိမ်းချောင်းများ,揚げ生地スティック,튀김 반죽 스틱,palitos de masa fritos,stik adonan goreng,3
11-2,6,飯糰,fàntuán,N,rice rolls with various fillings,cơm nắm,ข้าวม้วนไส้ต่างๆ,အမျိုးမျိုးသောအဆာများနှင့်အတူထမင်းလိပ်,いろいろな具材が入ったライスロール,다양한 충전재를 넣은 라이스 롤,rollitos de arroz con varios rellenos,nasi gulung dengan berbagai isian,3
11-2,7,豆漿,dòujiāng,N,soy milk ,sữa đậu nành,นมถั่วเหลือง,ပဲနို့,豆乳,두유,leche de soja,susu kedelai,3
11-2,8,內戰,nèizhàn,N,civil war,nội chiến,สงครามกลางเมือง,ပြည်တွင်းစစ်,内戦,남북 전쟁,guerra civil,perang saudara,3
11-2,9,人民,rénmín,N,the people,nhân dân,ผู้คน,လူတွေ,人々,사람들,pueblo,orang-orang,3
11-2,10,攤子,tānzi,N,"roadside stand, vendor's stall","sạp hàng, quầy hàng",แผงลอยริมถนน แผงขายของ,လမ်းဘေးဆိုင်၊ ဈေးရောင်းဆိုင်,沿道のスタンド、露店,"길가의 노점, 노점상","puesto de carretera, puesto de vendedor","stand pinggir jalan, kios penjual",3
11-2,11,菜單,càidān,N,menu,thực đơn,เมนู,မီနူး,メニュー,메뉴,menú,menu,3
11-2,12,蘿蔔,luóbo,N,daikon radish ,củ cải trắng,หัวไชเท้า daikon,daikon မုန်လာဥ,大根,무,rábano daikon,lobak daikon,3
11-2,13,接著,jiēzhe,Adv,"to continue, to pick up where something left off","tiếp theo, sau đó",เพื่อดำเนินการต่อเพื่อรับสิ่งที่เหลือไว้,ဆက်ရန်၊ တစ်ခုခုကျန်ခဲ့သည့်နေရာကို ကောက်ယူရန်,続ける、中断したところから再開する,"계속하다, 중단된 부분부터 다시 시작하다","continuar, retomar donde algo se quedó","melanjutkan, melanjutkan sesuatu yang tersisa",3
11-2,14,戰爭,zhànzhēng,N,war,chiến tranh,สงคราม,စစ်ပွဲ,戦争,전쟁,guerra,perang,3
11-2,15,不斷,búduàn,Vs,"continual, incessant","liên tục, không ngừng",ต่อเนื่องไม่หยุดหย่อน,အဆက်မပြတ်၊ အဆက်မပြတ်,継続的な、絶え間ない,"지속적인, 끊임없는","continuo, incesante","terus menerus, tiada henti",3
11-2,16,遷移,qiānyí,Vi,to migrate,"di chuyển, di cư",เพื่อโยกย้าย,ရွှေ့ပြောင်းရန်,移行する,이주하다,migrar,bermigrasi,3
11-2,17,多半,duōbàn,Adv,"mostly, in the majority of cases","phần lớn, đa số",ส่วนใหญ่ในกรณีส่วนใหญ่,အများအားဖြင့်၊ ကိစ္စအများစုတွင်,ほとんどの場合、ほとんどの場合,"대부분, 대부분의 경우","principalmente, en la mayoría de los casos","sebagian besar, dalam sebagian besar kasus",3
11-2,18,困難,kùnnán,Vs,difficult,khó khăn,ยาก,ခက်တယ်။,難しい,어려운,difícil,sulit,3
11-2,19,節儉,jiéjiǎn,Vs,frugal,"tiết kiệm, tằn tiện",ประหยัด,ချွေတာသည်။,質素な,검소한,frugal,hemat,3
11-2,20,主婦,zhǔfù,N,housewife,bà nội trợ,แม่บ้าน,အိမ်ရှင်မ,主婦,주부,ama de casa,ibu rumah tangga,3
11-2,21,煎,jiān,V,to pan fry,"rán, chiên",เพื่อทอด,ဒယ်အိုးကြော်ရန်,フライパンで揚げる,프라이팬에 튀기다,freír,menggoreng,3
11-2,22,菜色,càisè,N,variety of dishes,"món ăn, các món",อาหารหลากหลาย,ဟင်းမျိုးစုံ,さまざまな料理,다양한 요리,variedad de platos,berbagai hidangan,3
11-2,23,以及,yǐjí,Conj,"and, as well as","và, cũng như",และ (lae),နှင့် (nin),および、ならびに,그리고 / ~와/과 (geurigo / wa/gwa),"y, así como","dan, serta",3
11-2,24,美味,měiwèi,Vs,delicious,ngon miệng,อร่อย (a roi),စားကောင်း (sar kaung),美味しい (oishii),맛있다 (masitda),delicioso,lezat,3
11-2,25,點心,diǎnxīn,N,desserts,"món tráng miệng, điểm tâm",ของหวาน,အချိုပွဲ,デザート,디저트,postres,makanan penutup,3
11-2,26,日式,Rìshì,N,Japanese-style,kiểu Nhật,สไตล์ญี่ปุ่น,ဂျပန်စတိုင်,和風,일본식,estilo japonés,gaya Jepang,3
11-2,27,飲食,yǐnshí,N,"food, diet","ẩm thực, đồ ăn thức uống","อาหาร, อาหาร",အစားအသောက်၊ အစားအသောက်,食べ物、ダイエット,"음식, 다이어트","comida, dieta","makanan, pola makan",3
11-2,28,深,shēn,Vs,deep,sâu sắc,ลึก,နက်နဲသော,深い,깊은,profundo,dalam,3
11-2,29,蔣介石,Jiǎng Jièshí,,"Chiang Kai-Shek, 1887-1975",Tưởng Giới Thạch,"เจียงไคเชก, พ.ศ. 2430-2518",ချန်ကေရှိတ်၊ ၁၈၈၇-၁၉၇၅,蒋介石、1887-1975,"장개석, 1887-1975","Chiang Kai-Shek, 1887-1975","Chiang Kai-Shek, 1887-1975",3
11-2,30,國共內戰,Guó Gòng nèizhàn,,"the Chinese Civil War (i.e., between the Kuomintang and the Communists), 1927-1937, 1945-1950",Nội chiến Quốc - Cộng,"สงครามกลางเมืองจีน (เช่น ระหว่างก๊กมินตั๋งกับคอมมิวนิสต์), พ.ศ. 2470-2480, พ.ศ. 2488-2493",တရုတ်ပြည်တွင်းစစ် (ဆိုလိုသည်မှာ ကူမင်တန်နှင့် ကွန်မြူနစ်များကြား)၊ 1927-1937၊ 1945-1950၊,中国国共内戦（国民党と共産党の間）、1927～1937年、1945～1950年,"중국 내전(즉, 국민당과 공산당 사이), 1927-1937, 1945-1950","la Guerra Civil China (es decir, entre el Kuomintang y los comunistas), 1927-1937, 1945-1950","Perang Saudara Tiongkok (antara Kuomintang dan Komunis), 1927-1937, 1945-1950",3
11-2,31,客家人,Kèjiā rén,,"the Hakka people, a branch of Han",người Khách Gia (Hakka),ชาวฮากกาซึ่งเป็นสาขาหนึ่งของราชวงศ์ฮั่น,Hakka လူမျိုး၊ ဟန်ကိုင်း၊,漢族の一支族である客家族,한족의 한 갈래인 하카족,"el pueblo Hakka, una rama de los Han","orang Hakka, cabang dari Han",3
11-2,32,閩南人,Mǐnnán rén,,"the Southern Min people, also called Hokkien",người Mân Nam,ชาวหมิ่นใต้เรียกฮกเกี้ยน,တောင်ပိုင်းမင်းလူမျိုးများကို ဟော့ကင်းဟုလည်း ခေါ်သည်။,閩南民族、福建とも呼ばれる,Hokkien이라고도 불리는 남부 민족,"el pueblo Southern Min, también llamado Hokkien","orang Min Selatan, juga disebut Hokkien",3
11-2,33,蛋餅,dàn bǐng,,an egg wrap,bánh trứng,ห่อไข่,ကြက်ဥထုပ်,卵のラップ,계란 포장,una envoltura de huevo,bungkus telur,3
11-2,34,打輸,dǎ shū,,to be defeated,thua trận,ที่จะพ่ายแพ้,ရှုံးသည်,負ける,패배하다,ser derrotado,dikalahkan,3
11-2,35,擺攤子,bǎi tānzi,,to set up a vendor's stall,dựng sạp hàng,เพื่อตั้งแผงขายของ,စျေးရောင်းဆိုင် ထူထောင်ရန်,ベンダーの屋台を設置する,판매자의 부스를 설치하기 위해,montar un puesto de venta,mendirikan kios penjual,3
11-2,36,蘿蔔糕,luóbo gāo,,daikon cakes,bánh củ cải,เค้กไดคอน,daikon ကိတ်မုန့်,大根ケーキ,무 케이크,pasteles de daikon,kue daikon,3
11-2,37,烹飪課,pēngrèn kè,,cooking class,lớp học nấu ăn,ชั้นเรียนทำอาหาร,ဟင်းချက်သင်တန်း,料理教室,요리 교실,clase de cocina,kelas memasak,3
11-2,38,曬乾,shài gān,,to sun dry,phơi khô,ตากแดดให้แห้ง,နေလှန်းရန်,天日干しする,햇볕에 말리기,secar al sol,dijemur di bawah sinar matahari,3
11-2,39,各種各樣,gèzhǒng gèyàng,,various types,"đủ loại, đủ kiểu",ประเภทต่างๆ,အမျိုးအစားအမျိုးမျိုး,さまざまな種類,다양한 유형,varios tipos,berbagai jenis,3
11-2,40,殖民統治,zhímín tǒngzhì,,to colonise and rule,sự cai trị thuộc địa,เพื่อตั้งอาณานิคมและปกครอง,နယ်ချဲ့ အုပ်ချုပ်ရန်,植民地化して支配する,식민지화하고 통치하다,colonizar y gobernar,menjajah dan memerintah,3
11-2,41,味噌湯,wèizēng tāng,,miso soup (Japanese food),súp miso (món ăn Nhật Bản),มิโซะซุป(อาหารญี่ปุ่น),မီဆိုဟင်းရည် (ဂျပန်အစားအစာ),味噌汁（和食）,된장국(일본식),sopa de miso (comida japonesa),sup miso (makanan Jepang),3
11-2,42,蘿蔔乾,luóbo gān,,dried daikon,củ cải khô,หัวไชเท้าแห้ง,daikon အခြောက်,切り干し大根,말린 무,daikon seco,lobak kering,3
11-2,43,進一步,jìn yī bù,,further,thêm một bước nữa,ไกลออกไป,နောက်ထပ်,さらに遠く,더 나아가,más,lebih jauh,3
12-1,1,投票,tóupiào,V-sep,to vote,bỏ phiếu,ที่จะลงคะแนน,မဲပေးရန်,投票する,투표하다,votar,memilih,3
12-1,2,抱歉,bàoqiàn,Vs,"sorry, apologetic",xin lỗi,ขอโทษ ขอโทษ,တောင်းပန်ပါတယ် တောင်းပန်ပါတယ်။,ごめんなさい、申し訳ありません,"미안해, 미안해","lo siento, me disculpo","maaf, minta maaf",3
12-1,3,表妹,biǎomèi,N,younger female cousin,"em họ (con của anh chị em bố mẹ, nhỏ tuổi hơn mình)",ลูกพี่ลูกน้องผู้หญิงที่อายุน้อยกว่า,ညီမဝမ်းကွဲ အမျိုးသမီးငယ်,年下の女性のいとこ,젊은 여자 사촌,prima más joven,sepupu perempuan yang lebih muda,3
12-1,4,反核,fǎn hé,Vs-attr,anti-nuclear ,phản đối hạt nhân,ต่อต้านนิวเคลียร์,နျူကလီးယားဆန့်ကျင်ရေး,反原発,반핵,antinuclear,anti-nuklir,3
12-1,5,遊行,yóuxíng,N,"demonstration, rally","cuộc biểu tình, tuần hành",การสาธิตการชุมนุม,ဆန္ဒပြခြင်း၊ ဆန္ဒဖော်ထုတ်ခြင်း။,デモ、集会,"시위, 집회","manifestación, mitin","demonstrasi, rapat umum",3
12-1,6,政治,zhèngzhì,N,politics,chính trị,การเมือง,နိုင်ငံရေး,政治,정치,política,politik,3
12-1,7,熱衷,rèzhōng,Vst,"enthusiastic about, passionate about","say mê, nhiệt tình với","กระตือรือร้นเกี่ยวกับ, หลงใหลเกี่ยวกับ",စိတ်အားထက်သန်မှု၊ စိတ်အားထက်သန်မှု,～に熱中する、～に情熱を注ぐ,"열중하다, 열중하다","entusiasmado, apasionado por","antusias tentang, bersemangat tentang",3
12-1,8,前途,qiántú,N,"future, prospects","tương lai, triển vọng",อนาคตโอกาส,အနာဂတ်၊ အလားအလာ,将来、展望,"미래, 전망","futuro, perspectivas","masa depan, prospek",3
12-1,9,勸,quàn,V,"to persuade, to urge",khuyên nhủ,"ชักชวน, กระตุ้น",ဆွဲဆောင်ရန်၊ တိုက်တွန်းရန်,説得する、促す,"설득하다, 촉구하다","persuadir, instar","membujuk, mendesak",3
12-1,10,而已,éryǐ,Ptc,"only, merely",mà thôi (chỉ vậy thôi),แค่ (khae),မျှသာ (hmya thar),だけ (dake),"단지, 단지","sólo, simplemente",hanya saja,3
