課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊,
10-1,21,從容,cōngróng,Adv,"unhurriedly, calmly","thong thả, bình tĩnh",6,
10-1,22,應對,yìngduì,Vi,"to deal with, to tackle, to handle","giải quyết, xử lý",6,
10-1,23,綜觀,zòngguān,V,to take a comprehensive view of,nhìn tổng thể,6,
10-1,24,總經理,zǒngjīnglǐ,N,general manager,tổng giám đốc,6,
10-1,25,曲折,qūzhé,Vs,"zigzag, full of twists and turns","quanh co, đầy khúc khuỷu",6,
10-1,26,缺點,quēdiǎn,N,"weak point, flaw, failing","điểm yếu, thiếu sót",6,
10-1,27,思維,sīwéi,N,thinking,tư duy,6,
10-1,28,行走,xíngzǒu,V,"to walk on, to gain experience from","bước đi, tích lũy kinh nghiệm",6,
10-1,29,江湖,jiānghú,N,"in the world, society (i.e., real life)","trong đời, xã hội (tức cuộc sống thực)",6,
10-1,30,回頭,huítóu,V-sep,look back,nhìn lại,6,
10-1,31,實驗,shíyàn,N,experiment,thí nghiệm,6,
10-1,32,領悟,lǐngwù,N,realization,sự thấu hiểu,6,
10-1,33,為人處世,wéirén chǔshì,Ph,"how you conduct yourself in society, how you get along with others","cách bạn cư xử trong xã hội, cách bạn giao tiếp với người khác",6,
10-1,34,更為,gèngwéi,Adv,"more, even more","hơn, thậm chí hơn",6,
10-1,35,圓融,yuánróng,Vs,"harmoniously, smooth and without corners or edges (in one's dealings with others)","một cách hài hòa, trơn tru",6,
10-1,36,幽默,yōumò,Vs-sep,humor,sự hài hước,6,
10-1,37,思考術,sīkǎoshù,N,art of thinking,thuật suy nghĩ,6,
10-1,38,善(於),shàn(yú),Vst,to be good at,giỏi về,6,
10-1,1, 台科大,Táikēdà,,"National Taiwan University of Science and Technology, Taipei","Đại học Khoa học và Công nghệ Đài Loan, Đài Bắc",6,
10-1,2,盧希鵬,Lú Xīpéng,,"Hsi-Peng Lu (Distinguished Professor of department of Information Management, NTUST, 1962-)","Hsi-Peng Lu (Giáo sư xuất sắc của khoa Quản lý Thông tin, NTUST, 1962-)",6,
10-1,3,中經合集團,zhōngjīnghé jítuán,,"WI Harper Group (a pioneer in cross-border investments with offices in Beijing, Taipei, and San Francisco)",WI Harper Group (tiên phong trong đầu tư xuyên biên giới),6,
10-1,4,朱永光,Zhū Yǒngguāng,,"Y. K. Chu (managing director, oversees WI Harper’s venture capital business in Taiwan)","Y. K. Chu (giám đốc điều hành, phụ trách hoạt động đầu tư mạo hiểm của WI Harper tại Đài Loan)",6,
10-2,1,評量,píngliáng,V,"to assess, to evaluate","đánh giá, thẩm định",6,
10-2,2,畫上,huàshàng ,V,to draw,vẽ ra,6,
10-2,3,等號,děnghào,N,equation,phương trình,6,
10-2,4,閱讀,yuèdú,N/V,reading comprehension; to read,khả năng đọc hiểu; đọc,6,
10-2,5,內化,nèihuà,Vp,"to internalize, to be acquired","tiếp thu, nội tại hóa",6,
10-2,1,混為一談,hùnwéi yìtán,Id,"to lump together, to confuse things","gộp chung lại, nhầm lẫn các thứ",6,
10-2,2,出息,chūxí,N,"a bright future, a future, promise","một tương lai tươi sáng, triển vọng",6,
10-2,3,識字,shìzì,Vs,to be literate,biết chữ,6,
10-2,4,先天,xiāntiān,N,"(lit.) prior to birth, what’s given at birth","(nghĩa đen) trước khi sinh, những gì được ban tặng khi sinh ra",6,
10-2,5,辨識,biànshì,V,"to comprehend, to distinguish","thấu hiểu, phân biệt",6,
10-2,6,跳行,tiàoháng,Vi,to skip a line (when reading),bỏ qua một dòng (khi đọc),6,
10-2,7,不損,bùsǔn,Vst,"to not take away from, to do no damage to","không làm mất đi, không làm tổn hại đến",6,
10-2,8,偉大,wěidà,Vs/N,great; greatness,vĩ đại; sự vĩ đại,6,
10-2,9,神經,shénjīng,N,nerve,dây thần kinh,6,
10-2,10,不礙,búài,Vst,"to not hinder, to not obstruct","không cản trở, không gây trở ngại",6,
10-2,11,番,fān,M,measure for achievement,thành tựu,6,
10-2,12,開竅,kāiqiào,Vp,"to see the light, to start to understand properly, to be enlightened","thấy ánh sáng, bắt đầu hiểu đúng, được khai sáng",6,
10-2,13,笨,bèn,Vs,"stupid, not smart","ngu ngốc, không thông minh",6,
10-2,14,超越,chāoyuè,V,"to exceed, to surpass","vượt quá, vượt trội",6,
10-2,15,本性,běnxìng,N,nature,"bản chất, tự nhiên",6,
10-2,16,天賦,tiānfù,N,"gift, talent, innate abilities (lit. given by heaven)","tài năng bẩm sinh, năng khiếu trời cho",6,
10-2,17,得以,déyǐ,Vaux,to be able to,có thể,6,
10-2,18,執政,zhízhèng,Vi,"to hold the reins of government, to run the government","nắm quyền điều hành chính phủ, cai trị",6,
10-2,19,理念,lǐniàn,N,"idea, ideal, belief","ý tưởng, lý tưởng, niềm tin",6,
10-2,20,有所,yǒusuǒ,Adv,to some degree,ở một mức độ nào đó,6,
10-2,21,放諸四海皆準,fàngzhū sìhǎi jiēzhǔn,Id,"the same the world over, universally true","giống nhau trên toàn thế giới, đúng một cách phổ quát",6,
10-2,22,學術,xuéshù,N,"academic, scholarship","học thuật, sự học",6,
10-2,23,知其然,zhī qírán,Ph,to know the what (classical),biết cái gì (văn ngôn),6,
10-2,24,知其所以然,zhīqí suǒyǐrán,Ph,to know the why (classical),biết tại sao (văn ngôn),6,
10-2,25,國民,guómín,N,citizen,công dân,6,
10-2,26,區分,qūfēn,V,to distinguish (between),phân biệt (giữa),6,
10-2,27,廣,guǎng,Vs,extensive,"rộng rãi, phong phú",6,
10-2,28,見聞,jiànwén,N,"knowledge obtained from seeing and hearing (e.g., when traveling)",kiến thức thu được từ việc nhìn và nghe (ví dụ: khi đi du lịch),6,
10-2,29,提取,tíqǔ,V,"to obtain, to draw essence from","thu được, rút ra tinh túy từ",6,
10-2,30,預見,yùjiàn,V,"to predict, to foresee","dự đoán, tiên liệu",6,
10-2,31,防範,fángfàn,V,"to take precautions, to guard against, to prevent","phòng ngừa, đề phòng",6,
10-2,32,未雨綢繆,wèiyǔ chóumóu,Id,to be prepared against eventualities,chuẩn bị trước cho mọi tình huống,6,
10-2,33,促發,cùfā,V,"to trigger, to initiate","kích hoạt, khởi phát",6,
10-2,34,凡是,fánshì,Conj,"all, every","tất cả, mọi",6,
10-2,35,性命交關,xìngmìng jiāoguān,Id,"matter of life and death, critical moments","thời khắc sinh tử, những lúc quan trọng",6,
10-2,36,模仿,mófǎng,V,"to mimic, to imitate","bắt chước, mô phỏng",6,
10-2,37,機制,jīzhì,N,mechanism,cơ chế,6,
10-2,38,有樣學樣,yǒuyàng xuéyàng,Id,to imitate someone’s example,làm theo gương ai đó,6,
10-2,39,孟母三遷,Mèngmǔ sānqiān,Id,Mencius’ mother moved three times to better his education,Mẹ của Mạnh Tử ba lần chuyển nhà để giáo dục con tốt hơn,6,
10-2,40,內隱,nèiyǐn,Vs-attr,"implicit, implied, hidden","ngầm, ẩn ý, ẩn giấu",6,
10-2,41,暴露,pùlù,Vi,to be exposed to,được tiếp xúc với,6,
10-2,42,造影,zàoyǐng,Vi,imaging,"tạo ảnh, hình ảnh",6,
10-2,43,精進,jīngjìn,Vs,advanced,tiên tiến,6,
10-2,44,解開,jiěkāi,Vpt,"to unravel, to unlock, to solve","giải mã, giải quyết",6,
10-2,45,基因,jīyīn,N,"gene, genes","gen, các gen",6,
10-2,46,謎,mí,N,"riddle, mystery","bí ẩn, điều bí ẩn",6,
10-2,47,受虐,shòunüè,Vs,to be abused,bị lạm dụng,6,
10-2,48,調控,tiáokòng,V/N,"to adjust, to adjust and control, adjustment","điều chỉnh, kiểm soát và điều chỉnh, sự điều chỉnh",6,
10-2,49,憂鬱,yōuyù,Vs,depressed,"chán nản, trầm cảm",6,
10-2,50,掉以輕心,diàoyǐ qīngxīn,Id,"to take lightly, dismiss, adopt a casual attitude towards","xem nhẹ, coi thường",6,
10-2,51,起點,qǐdiǎn,N,starting point,điểm xuất phát,6,
10-2,52,題目,tímù,N,"(test) question, problem","câu hỏi (kiểm tra), vấn đề",6,
10-2,53,二度空間,èrdù kōngjiān,Ph,two-dimensional,hai chiều,6,
10-2,54,區域,qūyù,N,"region, area","khu vực, vùng",6,
10-2,55,促使,cùshǐ,V,"to prompt, to make, to impel, to drive","thúc đẩy, khiến, bắt buộc",6,
10-2,56,連接,liánjiē,V/N,"to link, to connect, connection","liên kết, kết nối; sự kết nối",6,
10-2,57,動手,dòngshǒu,V-sep,"to do (with one's hands, personally)","làm (bằng tay, tự mình)",6,
10-2,58,人生苦短,rénshēng kǔduǎn,Ph,life is short and tough,cuộc đời ngắn ngủi và khó khăn,6,
10-2,59,攻無不克,gōngwú búkè,Id,"nothing can stop you, you will succeed in everything, you will be ever-victorious","không gì có thể ngăn cản bạn, bạn sẽ thành công trong mọi việc",6,
10-2,60,事無不成,shìwú bùchéng,Id,"nothing will be impossible, stick to it and you will succeed","không gì là không thể, kiên trì và bạn sẽ thành công",6,
10-2,1,失讀症,Shīdúzhèng,,Dyslexia,Chứng khó đọc,6,
10-2,2,李光耀,Lǐguāngyào,,"Lee Kuan Yew (Prime Minister of Singapore from 1959 to 1990, 1923-2015)","Lý Quang Diệu (Thủ tướng Singapore từ 1959 đến 1990, 1923-2015)",6,
10-2,3,妥瑞氏症,Tuǒruìshì zhèng,,Tourette syndrome,Hội chứng Tourette,6,
10-2,4,鏡像神經元,jìngxiàng shénjīngyuán,,mirror neuron (a neuron that fires both when an animal acts and when the animal observes the same action performed by another),nơ-ron gương,6,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
